"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
1,"Sugar",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
2,"Fructose",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
3,"Syrup",100,"Food","Industrial","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
4,"Honey",100,"Food","No treatment","Sugar and syrups","Sugar and syrups","Sugar and confectionery","Sugar and confectionery"
5,"Sweet, candy",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
6,"Chocolate, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
7,"Chocolate confection filled with marmalade",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
8,"Liquorice, licorice",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
9,"Jelly candy, fruit jelly",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
10,"Marzipan, almond paste",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
11,"Toffee",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
12,"Salty liqourice pastille",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
14,"Chocolate bar, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
20,"Cocoa powder, unsweetened",100,"Food","Industrial","Miscellaneous ingredients","Chocolate","Other ingredients","Sugar and confectionery"
21,"Cocoa powder with sugar",100,"Food","Industrial","Miscellaneous ingredients","Chocolate","Other ingredients","Sugar and confectionery"
24,"Sorbitol",100,"Food","Industrial","Sweeteners","Miscellaneous ingredients","Other ingredients","Miscellaneous"
25,"Gelatin",100,"Food","Not specified","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
26,"Baking yeast, fresh",100,"Food","Not specified","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
27,"Flour, cornstarch, cornflour",100,"Food","Industrial","Starches","Miscellaneous ingredients","Cereals","Miscellaneous"
28,"Mustard",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
29,"Meat bouillon",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
30,"Salt, iodised",100,"Food","Industrial","Salt","Spices","Other ingredients","Miscellaneous"
31,"Soy sauce",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
32,"Chocolate, plain, dark chocolate",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
33,"Chocolate, milk chocolate",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
34,"Halva made with sesame seeds and sugar",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
35,"Sweet, candy, sugar-free",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
36,"Salt, low sodium",100,"Food","Industrial","Salt","Spices","Other ingredients","Miscellaneous"
37,"Chocolate, artificially sweetened",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
38,"Meat bouillon powder/cube",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
39,"Sweetener, aspartam, powder",100,"Food","Industrial","Sweeteners","Miscellaneous ingredients","Other ingredients","Miscellaneous"
40,"Cereal bar with fibre",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
43,"Rye malt",100,"Food","Dried","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
44,"Chocolate bar with filling, average",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
62,"Pastille sweetened with xylitol",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
63,"Chocolate bar, low-fat",100,"Food","Industrial","Chocolate","Chocolate","Sugar and confectionery","Sugar and confectionery"
65,"Chewing gum, xylitol sweetened",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
66,"Chewing gum",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
68,"Barley starch",100,"Food","Industrial","Starches","Breakfast cereals","Cereals","Cereals and cereal products"
69,"Fruit pastille with gum arabic",100,"Food","Industrial","Non-chocolate confectionery","Confectionery","Sugar and confectionery","Sugar and confectionery"
70,"Sweetener, saccharin",100,"Food","Industrial","Sweeteners","Miscellaneous ingredients","Other ingredients","Miscellaneous"
73,"Raisin or dried fruit coated with yoghurt",100,"Food","Industrial","Other fruits","Snacks","Fruits","Miscellaneous"
74,"Baking powder",100,"Food","Dried","Miscellaneous ingredients","Miscellaneous ingredients","Other ingredients","Miscellaneous"
75,"Fish stock broth",100,"Food","Industrial","Condiments","Fish soups","Spices","Fish dishes"
79,"Salt, rock salt, without iodine",100,"Food","No treatment","Salt","Spices","Other ingredients","Miscellaneous"
100,"Flour, rye, wholegrain rye flour",100,"Food","No treatment","Rye","Breakfast cereals","Cereals","Cereals and cereal products"
103,"Rye flakes",100,"Food","No treatment","Rye","Breakfast cereals","Cereals","Cereals and cereal products"
110,"Flour, wheat flour, semi-coarse",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
111,"Flour, whole wheat flour, graham flour",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
112,"Semolina",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
113,"Semolina, whole wheat",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
114,"Wheat flakes",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
115,"Wheat germ",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
116,"Wheat bran",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
117,"Macaroni, pasta",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
119,"Macaroni, whole wheat",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
120,"Noodle, wheat",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
121,"Pasta, spaghetti, macaroni",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
123,"Macaroni, dark, boiled without salt",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
124,"Flour, dark wheat flour",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
125,"Flour mixture, for bread rolls, wheat flour, wheat groats, rye",100,"Food","Mixed","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
126,"Flour, breadcrumbs",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
133,"Wafer, ice cream cone",100,"Food","Industrial","Wheat","Pies and other cereal products","Cereals","Cereals and cereal products"
142,"Flour, wheat flour, semi-coarse, bakery industry, fresh",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
150,"Flour, barley flour",100,"Food","No treatment","Oats and barley","Breakfast cereals","Cereals","Cereals and cereal products"
151,"Barley, pearl",100,"Food","No treatment","Oats and barley","Breakfast cereals","Cereals","Cereals and cereal products"
152,"Barley, rolled, barley flakes",100,"Food","No treatment","Oats and barley","Breakfast cereals","Cereals","Cereals and cereal products"
153,"Oats, rolled, oat flakes",100,"Food","No treatment","Oats and barley","Breakfast cereals","Cereals","Cereals and cereal products"
154,"Flour mixture, talkkuna powder, roasted barley, rye, oat, pea",100,"Food","No treatment","Other grains","Breakfast cereals","Cereals","Cereals and cereal products"
156,"Rice, white",100,"Food","No treatment","Rice","Rice","Cereals","Cereals and cereal products"
158,"Rice, wholegrain",100,"Food","No treatment","Rice","Rice","Cereals","Cereals and cereal products"
160,"Flour, millet, whole or crushed grains",100,"Food","No treatment","Other grains","Breakfast cereals","Cereals","Cereals and cereal products"
161,"Flour, buckwheat, whole or crushed grains",100,"Food","No treatment","Other grains","Breakfast cereals","Cereals","Cereals and cereal products"
162,"Flour, potato starch, potato flour",100,"Food","No treatment","Starches","Breakfast cereals","Cereals","Cereals and cereal products"
163,"Breakfast cereal, corn flakes",100,"Dish","Industrial","Dish","Breakfast cereals","Non-ingredient","Cereals and cereal products"
167,"Maize, kernel, dried, unpopped",100,"Food","Dried","Other grains","Breakfast cereals","Cereals","Cereals and cereal products"
168,"Malt for beer",100,"Food","Dried","Oats and barley","Miscellaneous ingredients","Cereals","Miscellaneous"
170,"Oat bran",100,"Food","No treatment","Oats and barley","Breakfast cereals","Cereals","Cereals and cereal products"
172,"Spaghetti spinach, contains egg",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
173,"Oat macaroni, contains wheat and oats",100,"Food","No treatment","Pasta and macaroni","Pasta","Cereals","Cereals and cereal products"
175,"Wheat grain, crushed",100,"Food","No treatment","Wheat","Breakfast cereals","Cereals","Cereals and cereal products"
176,"Rye grain, crushed",100,"Food","No treatment","Rye","Breakfast cereals","Cereals","Cereals and cereal products"
177,"Rice, natural rice, mixed rice and wild rice, boiled without salt",100,"Dish","Boiled","Dish","Rice","Non-ingredient","Cereals and cereal products"
182,"Flour, rice flour, rice flake",100,"Food","No treatment","Rice","Breakfast cereals","Cereals","Cereals and cereal products"
183,"Flour, rice flour, whole grain",100,"Food","No treatment","Rice","Breakfast cereals","Cereals","Cereals and cereal products"
184,"Tortilla chips, taco shell",100,"Food","Industrial","Other grains","Snacks","Cereals","Miscellaneous"
185,"Flour mixture, gluten-free, contains wheat starch",100,"Food","Mixed","Other grains","Breakfast cereals","Cereals","Cereals and cereal products"
186,"Pasta, spaghetti, spinach, boiled without salt",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
187,"Macaroni, boiled, oil",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
188,"Pasta, spaghetti, boiled, oil, without salt",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
189,"Flour mixture, rye, wheat",100,"Food","Mixed","Rye","Breakfast cereals","Cereals","Cereals and cereal products"
190,"Oat macaroni, boiled, no added salt",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
191,"Oat macaroni, boiled, added oil",100,"Dish","Boiled","Dish","Pasta","Non-ingredient","Cereals and cereal products"
202,"Potato, dried",100,"Food","Dried","Potato products","Cooked potatoes","Potatoes","Potatoes"
203,"Potato crisps, potato chips, potato snack",100,"Food","Industrial","Potato products","Snacks","Potatoes","Miscellaneous"
204,"Potato, new",100,"Food","No treatment","Potato","Cooked potatoes","Potatoes","Potatoes"
205,"Potato, peeled",100,"Food","No treatment","Potato","Cooked potatoes","Potatoes","Potatoes"
206,"Mashed potato powder",100,"Food","Dried","Potato products","Cooked potatoes","Potatoes","Potatoes"
207,"French fries, frozen",100,"Food","Frozen","Potato products","Fried or creamy potatoes","Potatoes","Potatoes"
209,"Potatoflake",100,"Food","Dried","Potato","Cooked potatoes","Potatoes","Potatoes"
300,"Carrot",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
302,"Carrot, dried",100,"Food","Dried","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
303,"Swede, rutabaga",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
304,"Turnip",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
305,"Beetroot, red beet",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
307,"Beetroot, pickled",100,"Food","Canned","Root vegetables and tubers","Canned vegetables","Vegetables","Vegetable dishes"
308,"Radish",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
309,"Parsnip",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
310,"Jerusalem artichoke",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
311,"Celeriac, turnip-rooted celery, knob celery, celery root",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
312,"Black salsify",100,"Food","No treatment","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
313,"Frozen vegetable mix, root vegetables, carrot-swede-celeriac-leek",100,"Dish","Frozen","Dish","Vegetables","Non-ingredient","Vegetable dishes"
320,"White cabbage",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
321,"Red cabbage",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
322,"Cauliflower",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
324,"Broccoli",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
326,"Kale",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
327,"Brussels sprout",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
329,"Kohlrabi",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
330,"Lettuce",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
331,"Iceberg lettuce",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
333,"Parsley",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
334,"Nettle",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
335,"Onion",100,"Food","No treatment","Onion-family vegetables","Vegetables","Vegetables","Vegetable dishes"
336,"Onion, dried",100,"Food","Dried","Onion-family vegetables","Vegetables","Vegetables","Vegetable dishes"
337,"Leek",100,"Food","No treatment","Onion-family vegetables","Vegetables","Vegetables","Vegetable dishes"
338,"Rhubarb",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
339,"Celery",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
340,"Asparagus, canned",100,"Food","Canned","Canned vegetables","Canned vegetables","Vegetables","Vegetable dishes"
342,"Mushroom, boletus, russula",100,"Food","No treatment","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
343,"Mushroom, milk caps, salted",100,"Food","Salted","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
344,"Mushroom in vinegar",100,"Food","Canned","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
345,"Champignon, fresh",100,"Food","No treatment","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
346,"Cucumber",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
347,"Cucumber, pickled cucumber, without added sugar",100,"Food","Canned","Fruit vegetables","Canned vegetables","Vegetables","Vegetable dishes"
348,"Pickled cucumber, sweet, flavoured",100,"Food","Canned","Fruit vegetables","Canned vegetables","Vegetables","Vegetable dishes"
350,"Pumpkin",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
351,"Salad, pickled pumpkin",100,"Food","Canned","Canned vegetables","Canned vegetables","Vegetables","Vegetable dishes"
352,"Tomato",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
353,"Tomato ketchup",100,"Food","Industrial","Condiments","Condiments","Spices","Miscellaneous"
354,"Tomato puree",100,"Food","Canned","Canned vegetables","Condiments","Vegetables","Miscellaneous"
355,"Sweet pepper, average",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
356,"Mixed vegetables, carrot, cauliflower, pea, bean",100,"Food","Frozen","Root vegetables and tubers","Vegetables","Vegetables","Vegetable dishes"
358,"Vegetable juice",100,"Food","Mashed","Canned vegetables","Vegetable juices","Vegetables","Vegetable dishes"
359,"Chinese cabbage",100,"Food","No treatment","Cabbages","Vegetables","Vegetables","Vegetable dishes"
360,"Swiss chard",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
362,"Aubergine",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
363,"Sweet corn kernels",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
364,"Garden cress",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
367,"Chanterelle",100,"Food","No treatment","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
368,"False morel",100,"Food","No treatment","Edible fungi","Mushroom dishes","Vegetables","Vegetable dishes"
369,"Dill, fresh",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
370,"Pea, green",100,"Food","No treatment","Pulses vegetables","Vegetables","Pulses and nuts","Vegetable dishes"
371,"Pea, green, dried",100,"Food","Dried","Pulses vegetables","Vegetables","Pulses and nuts","Vegetable dishes"
372,"Bean, green bean, string bean",100,"Food","No treatment","Pulses vegetables","Canned vegetables","Pulses and nuts","Vegetable dishes"
373,"Bean, brown bean, white bean, average",100,"Food","Dried","Pulses vegetables","Canned vegetables","Pulses and nuts","Vegetable dishes"
375,"Nut, hazelnut",100,"Food","No treatment","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
376,"Nut, walnut",100,"Food","No treatment","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
377,"Chestnut",100,"Food","No treatment","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
378,"Nut, peanut",100,"Food","No treatment","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
379,"Almond",100,"Food","No treatment","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
380,"Flour, soya flour, full fat",100,"Food","No treatment","Soya products","Miscellaneous ingredients","Pulses and nuts","Miscellaneous"
381,"Flour, soya flour, low-fat",100,"Food","No treatment","Soya products","Miscellaneous ingredients","Pulses and nuts","Miscellaneous"
382,"Coconut flake",100,"Food","Dried","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
383,"Nut, peanut, salt",100,"Food","Baked in oven","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
384,"Beansprouts and alfalfa sprouts, average",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
385,"Sesame seed, with hull",100,"Food","Dried","Nuts and seeds","Snacks","Pulses and nuts","Miscellaneous"
386,"Sweet pepper, red",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
387,"Sweet pepper, green",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
388,"Sweet pepper, yellow",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
389,"Zucchini, summer squash",100,"Food","No treatment","Fruit vegetables","Vegetables","Vegetables","Vegetable dishes"
390,"Tomato juice, unsweetened",100,"Food","Mashed","Canned vegetables","Vegetable juices","Vegetables","Vegetable dishes"
391,"Soya beans, dried",100,"Food","Dried","Soya products","Canned vegetables","Pulses and nuts","Vegetable dishes"
392,"Chives",100,"Food","No treatment","Leaf vegetables","Vegetables","Vegetables","Vegetable dishes"
393,"Garlic",100,"Food","No treatment","Onion-family vegetables","Vegetables","Vegetables","Vegetable dishes"
394,"Salad, sweet pickle relish",100,"Food","Canned","Canned vegetables","Canned vegetables","Vegetables","Vegetable dishes"
395,"Bean, white bean, boiled",100,"Food","Boiled","Pulses vegetables","Canned vegetables","Pulses and nuts","Vegetable dishes"
396,"Frozen vegetable mix, pea-sweet corn-sweet pepper",100,"Dish","Frozen","Dish","Vegetables","Non-ingredient","Vegetable dishes"
398,"Tomatoes, crushed, canned",100,"Food","Canned","Canned vegetables","Canned vegetables","Vegetables","Vegetable dishes"
399,"Lentils, green/brown, dried",100,"Food","Dried","Pulses vegetables","Canned vegetables","Pulses and nuts","Vegetable dishes"
401,"Apple, dried",100,"Food","Dried","Malaceous fruit","Snacks","Fruits","Miscellaneous"
408,"Apricot, canned, in syrup",100,"Food","Canned","Canned fruits","Fruit and berry salads","Fruits","Fruit and berry dishes"
409,"Apricot, dried",100,"Food","Dried","Malaceous fruit","Snacks","Fruits","Miscellaneous"
411,"Peach, canned, in syrup",100,"Food","Canned","Canned fruits","Fruit and berry salads","Fruits","Fruit and berry dishes"
412,"Peach, dried",100,"Food","Dried","Malaceous fruit","Snacks","Fruits","Miscellaneous"
417,"Pineapple, canned, in syrup",100,"Food","Canned","Canned fruits","Fruit and berry salads","Fruits","Fruit and berry dishes"
423,"Grape, average, green or red, seedless",100,"Food","No treatment","Other fruits","Fruits","Fruits","Fruit and berry dishes"
427,"Mixed fruit, dried",100,"Food","Dried","Other fruits","Snacks","Fruits","Miscellaneous"
428,"Raisin",100,"Food","Dried","Other fruits","Snacks","Fruits","Miscellaneous"
431,"Olive, average, with stone, in oil, green/black",80,"Food","Canned","Other fruits","Canned vegetables","Fruits","Vegetable dishes"
432,"Fruit cocktail, in syrup",100,"Food","Canned","Canned fruits","Fruit and berry salads","Fruits","Fruit and berry dishes"
433,"Apple juice, unsweetened, vitamin c",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
434,"Orange juice, unsweetened, vitamin c",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
435,"Grapefruit juice, unsweetened, vitamin c",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
436,"Fruit juice, unsweetened, vitamin c, average",100,"Food","Mixed","Juices","Juices","Fruits","Fruit and berry dishes"
437,"Lemon juice, unsweetened, diluted",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
438,"Pineapple juice, unsweetened, vitamin c",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
440,"Lingonberry, cowberry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
441,"Cranberry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
442,"Blueberry, bilberry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
444,"Blackcurrant",95,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
445,"Redcurrant",95,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
446,"Gooseberry",98,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
447,"Strawberry",95,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
448,"Raspberry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
449,"Cloudberry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
450,"Mixed berry jam",100,"Food","Canned","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
451,"Berry juice, sweetened, undiluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
452,"Blackcurrant juice, sweetened, undiluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
453,"Berry juice, unsweetened, undiluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
454,"Berry, average",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
455,"Sea buckthorn berry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
456,"Berry marmalade",100,"Food","Canned","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
457,"Rowan berry",100,"Food","No treatment","Berries","Berries","Fruits","Fruit and berry dishes"
458,"Juice drink, blackcurrant-lingonberry, contains sugar",100,"Food","Mashed","Juice drink","Juice drink","Fruits","Beverages"
459,"Juice drink, lingonberry, undiluted, contains sugar",100,"Food","Mashed","Juice drink","Juice drink","Fruits","Beverages"
461,"Berry juice, sweetened, diluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
462,"Blackcurrant juice, sweetened, diluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
463,"Berry juice, unsweetened, diluted, home-made",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
469,"Fruit juice, five fruits, unsweetened, vitamin c",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
471,"Pineapple, canned, in own juice",100,"Food","Canned","Canned fruits","Fruit and berry salads","Fruits","Fruit and berry dishes"
472,"Applesauce, unsweetened",100,"Food","Mashed","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
473,"Fruit nectar, berry nectar, sweetened, 50% fruit",100,"Food","Mashed","Juice drink","Juice drink","Fruits","Beverages"
474,"Berry juice, unsweetened",100,"Food","Mashed","Juices","Juices","Fruits","Fruit and berry dishes"
476,"Jam, sweetened with fructose",100,"Food","Canned","Canned fruits","Jams and marmalades","Fruits","Fruit and berry dishes"
477,"Muskmelon/cantaloupe melon, without skin",100,"Food","No treatment","Other fruits","Fruits","Fruits","Fruit and berry dishes"
478,"Berry nectar drink, sweetened, contains 50% berries",100,"Food","Boiled","Juice drink","Juice drink","Fruits","Beverages"
500,"Butter",100,"Food","Industrial","Butter and butter spread","Butter and butter spread >60%","Fat","Fat and fat products"
501,"Blended spread 80%",100,"Food","Industrial","Butter and butter spread","Butter and butter spread >60%","Fat","Fat and fat products"
528,"Catering fat for deep frying 100%",100,"Food","Industrial","Fats for cooking and industrial use","Other fat products","Fat","Fat and fat products"
529,"Margarine, pastry, 80% fat, industrial",100,"Food","Industrial","Fats for cooking and industrial use","Other fat products","Fat","Fat and fat products"
530,"Catering margarine for baking, 80% fat",100,"Food","Industrial","Fats for cooking and industrial use","Other fat products","Fat","Fat and fat products"
531,"Catering oil, 70% rapeseed oil, 30% palm oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
535,"Rapeseed oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
536,"Olive oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
537,"Peanut oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
540,"Sunflower oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
541,"Cooking oil, average, 87% rapeseed, 8% sunflower,and 5% olive oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
542,"Soybean oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
543,"Corn oil, maize oil",100,"Food","Industrial","Oils","Salad dressings","Fat","Fat and fat products"
550,"Lard, frying fat",100,"Food","No treatment","Animal fat","Other fat products","Fat","Fat and fat products"
552,"Coconut butter",100,"Food","Industrial","Fats for cooking and industrial use","Other fat products","Fat","Fat and fat products"
553,"Tallow, beef fat",100,"Food","No treatment","Animal fat","Other fat products","Fat","Fat and fat products"
562,"Mayonnaise, 60% fat",100,"Food","Industrial","Other fat products","Salad dressings","Fat","Fat and fat products"
563,"Salad dressing, french dressing",100,"Food","Industrial","Other fat products","Salad dressings","Fat","Fat and fat products"
565,"Blended spread 40%, kevyt levi, low-sodium, low-lactose",100,"Food","Industrial","Butter and butter spread","Margarine, butter spread and fat spread <55%","Fat","Fat and fat products"
568,"Margarine 60%, rainbow/pirkka/eldorado/k-menu",100,"Food","Industrial","Margarine and fat spread >55%","Margarine and fat spread >55%","Fat","Fat and fat products"
570,"Blended spread 40%, kevyt levi, low-lactose",100,"Food","Industrial","Butter and butter spread","Margarine, butter spread and fat spread <55%","Fat","Fat and fat products"
