"id","name","edible_portion","food_type","processing_method","ingredient_category","food_category","ingredient_category2","food_category2"
7299,"Lamb, filled with leek and parsley",100,"Dish","Baked in oven","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7300,"Lamb, low-fat, boiled",100,"Dish","Boiled","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7302,"Mutton and pork, boiled mixture",100,"Dish","Boiled","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7304,"Mutton roast",100,"Dish","Baked in oven","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7305,"Lamb steak, fried",100,"Dish","Fried","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7306,"Mutton chop, breaded",100,"Dish","Fried","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7307,"Lamb and cabbage stew",100,"Dish","Boiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7308,"Reindeer, boiled, salt",100,"Dish","Boiled","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7309,"Reindeer roast",100,"Dish","Baked in oven","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7311,"Elk, fried",100,"Dish","Fried","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7312,"Roasted elk",100,"Dish","Baked in oven","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7313,"Elk meat gravy, brown gravy",100,"Dish","Boiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7314,"Sauteed elk, with pork fat",100,"Dish","Fried","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7315,"Hare, grilled/fried",100,"Dish","Grilled, broiled","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7316,"Rabbit, grilled/fried",100,"Dish","Grilled, broiled","Dish","Steaks and chops","Non-ingredient","Meat dishes"
7317,"Sauteed reindeer, bacon",100,"Dish","Boiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7500,"Chicken, boiled with salt",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7501,"Chicken soup with celeriac and leek",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7502,"Chicken soup with vegetables and potato",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7503,"Chicken vegetable stew",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7505,"Chicken fricassee",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7506,"Chicken meat ball",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7507,"Crepes filled with chicken, low-fat milk",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7510,"Chicken, grilled",100,"Dish","Grilled, broiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7511,"Game bird, grilled/fried",100,"Dish","Grilled, broiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7512,"Game, average, fried",100,"Dish","Fried","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7513,"Turkey, oven-baked",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7514,"Chicken salad with rice peas, pickles, leek",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
7515,"Paella with chicken and shellfish",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7516,"Chinese meat vegetable gravy, sweet-and-sour",100,"Dish","Boiled","Dish","Meat hot-pot","Non-ingredient","Meat dishes"
7517,"Chinese chicken vegetable gravy, sweet and sour",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7518,"Chicken salad, without dressing",100,"Dish","Mixed","Dish","Mixed salads","Non-ingredient","Prepared salads"
7519,"Chicken stew, cooking cream and vegetables",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7520,"Chicken vegetable gravy with creme fraiche",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7521,"Chicken meatball",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7522,"Chicken with skin, grilled without added fat",100,"Dish","Grilled, broiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7523,"Chicken marinated, with skin, oven-baked",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7525,"Chicken-vegetable wok with tomato puree and soy sauce",100,"Dish","Boiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7529,"Chicken breast with skin, fried",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7530,"Chicken breast without skin, fried",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7531,"Chicken schnitzel, breaded, fried",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7535,"Turkey breast, fried",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7536,"Turkey breast, oven-baked",100,"Dish","Baked in oven","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7537,"Chicken leg and thigh with skin, grilled",100,"Dish","Grilled, broiled","Dish","Poultry dishes","Non-ingredient","Meat dishes"
7538,"Chicken macaroni soup with beans, sweet pepper, leek and carrot",100,"Dish","Boiled","Dish","Meat soups","Non-ingredient","Meat dishes"
7540,"Chicken nuggets, deep-fried, lactose-free",100,"Dish","Fried","Dish","Poultry dishes","Non-ingredient","Meat dishes"
